Dataset	Site_Type	Population	Species	Locality	Replicate	Private	Sites	Variant_Sites	Polymorphic_Sites	Polymorphic_Loci	Num_Indv	Var_N	StdErr_N	P	Var_P	StdErr_P	Obs_Het	Var_OHe	StdErr_OHe	Obs_Hom	Var_OHo	StdErr_OHo	Exp_Het	Var_EHe	StdErr_EHe	Exp_Hom	Var_EHo	StdErr_EHo	Pi	Var_Pi	StdErr_Pi	Fis	Var_Fis	StdErr_Fis
allreads_allsnps_allsites	allsites	cylindraceus_IGG_FFS	cylindraceus	IGG	FFS	65	28488	28100	2410	8.45970	1.75140	0.18680	0.00256	0.96675	0.01326	0.00068	0.06527	0.05197	0.00135	0.93473	0.05197	0.00135	0.03777	0.01576	0.00074	0.96223	0.01576	0.00074	0.05487	0.03506	0.00111	-0.01560	0.00940	0.00256
allreads_allsnps_allsites	allsites	montanus_SG_Fresh	montanus	SG	Fresh	446	31044	30570	3842	12.37598	4.96350	0.04528	0.00121	0.95956	0.01451	0.00068	0.07494	0.05244	0.00130	0.92506	0.05244	0.00130	0.04859	0.01859	0.00077	0.95141	0.01859	0.00077	0.05412	0.02308	0.00086	-0.03855	0.03080	0.00121
allreads_allsnps_allsites	allsites	yonahlossee_SG_FFS	yonahlossee	SG	FFS	11	31039	30566	2365	7.61945	1.11788	0.10399	0.00183	0.96383	0.01630	0.00072	0.07180	0.06472	0.00144	0.92820	0.06472	0.00144	0.03713	0.01683	0.00074	0.96287	0.01683	0.00074	0.07135	0.06367	0.00143	-0.00068	0.00116	0.00183
allreads_allsnps_allsites	allsites	montanus_IGG_Fresh	montanus	IGG	Fresh	151	31044	30570	3770	12.14405	3.36081	0.25138	0.00285	0.95947	0.01424	0.00068	0.07477	0.05127	0.00129	0.92523	0.05127	0.00129	0.04929	0.01882	0.00078	0.95071	0.01882	0.00078	0.05793	0.02605	0.00092	-0.02954	0.02435	0.00285
allreads_allsnps_allsites	allsites	yonahlossee_IGG_FFS	yonahlossee	IGG	FFS	42	31047	30573	3380	10.88672	4.14761	0.45360	0.00382	0.96349	0.01332	0.00066	0.07021	0.05052	0.00128	0.92979	0.05052	0.00128	0.04371	0.01707	0.00074	0.95629	0.01707	0.00074	0.04997	0.02237	0.00085	-0.03660	0.02474	0.00382
allreads_allsnps_allsites	allsites	yonahlossee_IGG_Blood	yonahlossee	IGG	Blood	51	31043	30569	4085	13.15917	5.29933	0.61332	0.00444	0.96195	0.01266	0.00064	0.07105	0.04560	0.00121	0.92895	0.04560	0.00121	0.04789	0.01753	0.00075	0.95211	0.01753	0.00075	0.05271	0.02123	0.00083	-0.03491	0.02493	0.00444
allreads_allsnps_allsites	allsites	glutinosus_SG_Blood	glutinosus	SG	Blood	298	31049	30575	6685	21.53048	4.75880	0.27746	0.00299	0.94376	0.01561	0.00071	0.09425	0.04685	0.00123	0.90575	0.04685	0.00123	0.07494	0.02374	0.00087	0.92506	0.02374	0.00087	0.08379	0.02972	0.00098	-0.01967	0.02996	0.00299
allreads_allsnps_allsites	allsites	montanus_SG_FFS	montanus	SG	FFS	7	14258	14119	930	6.52265	1.26063	0.19271	0.00368	0.97142	0.01247	0.00094	0.05541	0.04831	0.00184	0.94459	0.04831	0.00184	0.03060	0.01361	0.00098	0.96940	0.01361	0.00098	0.05358	0.04430	0.00176	-0.00274	0.00399	0.00368
allreads_allsnps_allsites	allsites	montanus_IGG_FFS	montanus	IGG	FFS	64	29090	28678	3417	11.74630	3.32018	1.60143	0.00742	0.96358	0.01243	0.00065	0.06758	0.04500	0.00124	0.93242	0.04500	0.00124	0.04534	0.01690	0.00076	0.95466	0.01690	0.00076	0.05623	0.02786	0.00098	-0.02046	0.01801	0.00742
allreads_allsnps_allsites	allsites	cinereus_IGG_Blood	cinereus	IGG	Blood	263	29763	29344	3457	11.61509	2.60310	0.88886	0.00546	0.96563	0.01101	0.00061	0.05660	0.03365	0.00106	0.94340	0.03365	0.00106	0.04435	0.01605	0.00073	0.95565	0.01605	0.00073	0.05738	0.02876	0.00098	0.00135	0.01689	0.00546
